day,month,year,cloud_cover,global_radiation,max_temp,mean_temp,min_temp,pressure
26,2,1979.0,7.0,28.0,10.9,4.6,-0.8,101670.0
27,2,1979.0,6.0,70.0,13.9,10.4,8.8,100310.0
28,2,1979.0,6.0,25.0,10.1,6.5,2.3,100550.0
1,3,1979.0,5.0,97.0,13.0,7.1,2.6,102510.0
2,3,1979.0,6.0,121.0,17.0,14.2,12.0,101760.0
3,3,1979.0,7.0,39.0,15.1,8.2,3.1,102750.0
4,3,1979.0,8.0,54.0,10.5,8.8,6.1,100750.0
5,3,1979.0,7.0,54.0,12.6,6.0,2.0,102760.0
6,3,1979.0,6.0,94.0,12.6,8.8,6.5,101160.0
7,3,1979.0,5.0,54.0,10.4,3.6,-1.6,101240.0
8,3,1979.0,7.0,56.0,11.7,8.8,5.2,100750.0
9,3,1979.0,8.0,70.0,9.6,10.0,7.7,100140.0
10,3,1979.0,6.0,57.0,8.6,2.6,-0.3,102190.0
11,3,1979.0,8.0,32.0,12.6,9.0,4.4,102800.0
12,3,1979.0,8.0,52.0,9.3,6.7,4.2,101360.0
13,3,1979.0,4.0,112.0,9.6,8.0,4.2,103490.0
14,3,1979.0,7.0,119.0,11.6,9.4,6.3,101270.0
15,3,1979.0,8.0,45.0,14.2,8.8,4.8,103300.0
16,3,1979.0,7.0,56.0,10.7,2.6,-0.0,102800.0
17,3,1979.0,7.0,43.0,12.4,9.0,6.4,101560.0
18,3,1979.0,7.0,41.0,5.5,1.9,-2.4,101620.0
19,3,1979.0,7.0,36.0,10.4,3.6,0.4,102460.0
20,3,1979.0,7.0,39.0,17.0,10.0,8.7,101540.0
21,3,1979.0,6.0,92.0,16.2,6.0,0.7,102560.0
22,3,1979.0,7.0,53.0,12.3,9.0,6.0,100520.0
23,3,1979.0,3.0,176.0,21.5,9.3,5.5,100750.0
24,3,1979.0,7.0,45.0,10.0,4.9,1.6,102960.0
25,3,1979.0,6.0,170.0,13.7,11.2,9.4,100620.0
26,3,1979.0,7.0,64.0,11.0,7.4,4.0,101220.0
27,3,1979.0,8.0,55.0,10.5,6.8,3.0,100930.0
28,3,1979.0,7.0,58.0,10.0,6.4,5.4,101870.0
29,3,1979.0,7.0,64.0,9.2,8.0,4.4,100780.0
30,3,1979.0,6.0,70.0,8.8,2.6,0.9,102160.0
31,3,1979.0,4.0,110.0,10.1,6.4,2.7,101030.0
1,4,1979.0,5.0,148.0,10.0,5.5,1.9,102720.0
2,4,1979.0,4.0,229.0,10.4,7.0,4.5,101840.0
3,4,1979.0,6.0,72.0,10.2,8.6,4.0,102400.0
4,4,1979.0,6.0,125.0,14.3,8.6,3.1,101930.0
5,4,1979.0,7.0,46.0,10.0,7.5,3.9,102310.0
6,4,1979.0,5.0,183.0,8.9,4.6,0.5,102280.0
7,4,1979.0,6.0,180.0,21.0,14.2,9.3,101500.0
8,4,1979.0,6.0,153.0,12.8,8.0,3.2,102510.0
9,4,1979.0,4.0,147.0,13.9,11.1,7.5,101750.0
10,4,1979.0,7.0,147.0,13.4,7.6,4.4,99570.0
11,4,1979.0,6.0,180.0,12.0,2.2,-3.3,100760.0
12,4,1979.0,7.0,35.0,9.2,12.2,11.3,101390.0
13,4,1979.0,8.0,72.0,13.8,9.0,3.9,100690.0
14,4,1979.0,1.0,226.0,21.1,13.0,6.2,101810.0
15,4,1979.0,5.0,106.0,10.4,5.9,1.6,102350.0
16,4,1979.0,7.0,78.0,11.5,10.6,7.6,101830.0
17,4,1979.0,7.0,72.0,12.6,10.8,8.0,99240.0
18,4,1979.0,6.0,136.0,10.2,8.9,4.5,102020.0
19,4,1979.0,4.0,149.0,9.9,10.3,6.0,101500.0
20,4,1979.0,5.0,170.0,10.0,8.4,5.3,102080.0
21,4,1979.0,6.0,207.0,9.8,7.3,4.3,102950.0
22,4,1979.0,7.0,143.0,7.5,6.8,2.8,98970.0
23,4,1979.0,6.0,140.0,13.6,9.6,6.5,102550.0
24,4,1979.0,3.0,290.0,12.6,11.8,7.6,102290.0
25,4,1979.0,6.0,153.0,13.4,14.2,10.7,101120.0
26,4,1979.0,5.0,201.0,13.7,10.6,6.2,102990.0
27,4,1979.0,7.0,89.0,14.8,12.1,8.6,101480.0
28,4,1979.0,5.0,201.0,14.1,10.3,4.1,101150.0
29,4,1979.0,7.0,125.0,12.3,5.4,3.6,101470.0
30,4,1979.0,3.0,266.0,13.1,6.5,2.6,102760.0
1,5,1979.0,7.0,99.0,16.4,11.8,6.9,101390.0
2,5,1979.0,8.0,81.0,14.4,9.8,6.5,101620.0
3,5,1979.0,5.0,220.0,17.6,12.0,9.9,102330.0
4,5,1979.0,5.0,243.0,17.0,11.2,8.3,101270.0
5,5,1979.0,0.0,325.0,18.0,12.8,4.5,102360.0
6,5,1979.0,6.0,223.0,18.8,12.3,9.3,100810.0
7,5,1979.0,5.0,173.0,10.2,6.7,3.4,99940.0
8,5,1979.0,6.0,241.0,22.7,16.6,11.4,101750.0
9,5,1979.0,5.0,291.0,22.5,16.0,9.2,101930.0
10,5,1979.0,6.0,208.0,15.1,13.8,9.9,100680.0
11,5,1979.0,6.0,271.0,16.8,10.7,8.5,102800.0
12,5,1979.0,5.0,263.0,17.0,14.4,8.7,101640.0
13,5,1979.0,6.0,166.0,16.3,11.2,6.2,101470.0
14,5,1979.0,4.0,285.0,22.2,13.4,7.3,102380.0
15,5,1979.0,1.0,253.0,12.9,8.9,2.7,101870.0
16,5,1979.0,4.0,222.0,13.5,8.4,4.6,100810.0
17,5,1979.0,5.0,284.0,17.5,13.6,8.4,100690.0
18,5,1979.0,6.0,230.0,19.9,17.2,11.5,100930.0
19,5,1979.0,2.0,288.0,18.3,14.2,8.5,102250.0
20,5,1979.0,6.0,247.0,16.4,14.4,8.7,102020.0
21,5,1979.0,6.0,124.0,17.6,12.6,9.6,100430.0
22,5,1979.0,6.0,247.0,15.2,11.6,6.3,101750.0
23,5,1979.0,6.0,231.0,17.0,13.4,8.2,101470.0
24,5,1979.0,5.0,240.0,21.3,12.2,8.6,100810.0
25,5,1979.0,6.0,257.0,15.1,13.2,7.5,101810.0
26,5,1979.0,4.0,249.0,19.0,15.2,9.1,102310.0
27,5,1979.0,6.0,244.0,16.6,15.0,9.4,103080.0
28,5,1979.0,7.0,115.0,15.6,10.6,6.6,101550.0
29,5,1979.0,5.0,277.0,15.1,12.3,9.8,102740.0
30,5,1979.0,4.0,254.0,16.0,13.1,7.3,102560.0
31,5,1979.0,5.0,199.0,11.5,9.1,6.1,101140.0
1,6,1979.0,6.0,254.0,18.8,15.4,11.4,101090.0
2,6,1979.0,1.0,330.0,18.0,14.6,10.8,102340.0
3,6,1979.0,6.0,166.0,18.5,10.0,6.5,100300.0
4,6,1979.0,8.0,68.0,17.2,13.2,10.9,102440.0
5,6,1979.0,7.0,205.0,19.4,13.9,7.3,100830.0
6,6,1979.0,7.0,205.0,22.6,16.6,10.5,101870.0
7,6,1979.0,5.0,254.0,23.0,18.1,11.1,102300.0
8,6,1979.0,4.0,222.0,19.9,17.2,11.8,100670.0
9,6,1979.0,5.0,263.0,21.5,15.4,10.0,102050.0
10,6,1979.0,7.0,172.0,16.7,18.2,12.3,101470.0
11,6,1979.0,5.0,232.0,21.7,16.2,11.6,102270.0
12,6,1979.0,5.0,190.0,18.1,17.4,12.9,101820.0
13,6,1979.0,5.0,238.0,23.4,19.8,15.6,101890.0
14,6,1979.0,7.0,110.0,17.9,14.4,11.3,101390.0
15,6,1979.0,7.0,122.0,16.5,13.2,10.3,101150.0
16,6,1979.0,3.0,340.0,28.8,17.8,12.4,102390.0
17,6,1979.0,8.0,80.0,22.9,15.6,13.8,101780.0
18,6,1979.0,5.0,275.0,18.9,17.3,10.6,102210.0
19,6,1979.0,7.0,236.0,16.9,16.0,11.9,101240.0
20,6,1979.0,6.0,310.0,25.6,16.2,11.3,101920.0
21,6,1979.0,8.0,79.0,19.1,13.0,11.8,100760.0
22,6,1979.0,7.0,71.0,19.0,17.0,13.7,100930.0
23,6,1979.0,6.0,203.0,19.2,17.6,13.8,101220.0
24,6,1979.0,7.0,106.0,20.2,17.8,15.1,102350.0
25,6,1979.0,8.0,81.0,19.7,13.4,12.5,101900.0
26,6,1979.0,5.0,251.0,23.8,19.0,13.6,101420.0
27,6,1979.0,7.0,211.0,19.4,15.4,11.9,101830.0
28,6,1979.0,6.0,224.0,18.8,14.2,10.3,100910.0
29,6,1979.0,7.0,89.0,22.7,16.4,13.4,101350.0
30,6,1979.0,5.0,286.0,20.8,16.9,10.6,101930.0
1,7,1979.0,4.0,267.0,22.0,17.4,12.6,101810.0
2,7,1979.0,6.0,229.0,25.8,20.6,15.4,101700.0
3,7,1979.0,2.0,322.0,27.8,19.4,14.0,102740.0
4,7,1979.0,4.0,271.0,22.8,21.9,15.5,101580.0
5,7,1979.0,6.0,182.0,20.5,16.4,12.9,100750.0
6,7,1979.0,7.0,167.0,14.4,13.2,9.2,102600.0
7,7,1979.0,6.0,232.0,21.2,16.6,11.6,101630.0
8,7,1979.0,7.0,112.0,26.5,16.4,15.1,101260.0
9,7,1979.0,7.0,136.0,19.8,17.6,13.2,101440.0
10,7,1979.0,5.0,254.0,19.0,20.4,15.5,101660.0
11,7,1979.0,7.0,134.0,16.7,14.3,11.2,101270.0
12,7,1979.0,5.0,286.0,27.4,18.2,12.5,101970.0
13,7,1979.0,6.0,199.0,26.4,18.4,13.5,101770.0
14,7,1979.0,5.0,240.0,22.4,18.4,12.1,101950.0
15,7,1979.0,5.0,255.0,22.6,15.8,10.2,101300.0
16,7,1979.0,6.0,271.0,18.3,13.0,9.8,101450.0
17,7,1979.0,5.0,257.0,23.9,16.8,11.1,101700.0
18,7,1979.0,6.0,241.0,19.1,15.8,11.7,101470.0
19,7,1979.0,4.0,261.0,21.9,16.4,11.0,100930.0
20,7,1979.0,6.0,210.0,26.2,19.4,16.0,101870.0
21,7,1979.0,6.0,270.0,19.6,16.8,12.6,101960.0
22,7,1979.0,5.0,249.0,21.1,17.1,13.2,102040.0
23,7,1979.0,6.0,166.0,22.5,18.1,13.3,101340.0
24,7,1979.0,7.0,90.0,25.0,16.8,15.0,101700.0
25,7,1979.0,7.0,180.0,22.3,18.8,14.4,101770.0
26,7,1979.0,7.0,99.0,21.9,16.6,13.5,101620.0
27,7,1979.0,5.0,240.0,20.9,17.0,12.3,101810.0
28,7,1979.0,7.0,180.0,22.2,18.6,13.0,102120.0
29,7,1979.0,8.0,94.0,22.5,18.6,15.6,101720.0
30,7,1979.0,6.0,229.0,24.8,18.6,14.0,101640.0
31,7,1979.0,5.0,232.0,19.2,22.2,16.7,101080.0
1,8,1979.0,6.0,247.0,24.1,17.6,12.0,101860.0
2,8,1979.0,6.0,175.0,21.6,16.4,11.4,101810.0
3,8,1979.0,5.0,273.0,24.2,19.8,13.0,101900.0
4,8,1979.0,4.0,258.0,19.2,16.2,11.5,101420.0
5,8,1979.0,7.0,193.0,17.0,17.0,13.2,101450.0
6,8,1979.0,6.0,254.0,18.9,18.2,14.8,101860.0
7,8,1979.0,2.0,339.0,24.6,20.6,13.2,102890.0
8,8,1979.0,2.0,321.0,23.2,16.6,9.9,101770.0
9,8,1979.0,4.0,199.0,19.7,17.4,13.8,101940.0
10,8,1979.0,7.0,122.0,19.3,15.4,11.8,101780.0
11,8,1979.0,7.0,63.0,19.9,16.6,14.8,100750.0
12,8,1979.0,5.0,173.0,19.0,15.3,10.1,101770.0
13,8,1979.0,7.0,79.0,22.7,17.2,13.0,101720.0
14,8,1979.0,4.0,275.0,21.7,16.4,12.4,102110.0
15,8,1979.0,6.0,135.0,21.4,19.0,14.4,101910.0
16,8,1979.0,6.0,126.0,21.1,18.4,14.6,100230.0
17,8,1979.0,7.0,208.0,21.4,18.6,14.9,101580.0
18,8,1979.0,5.0,199.0,21.7,16.2,12.2,101860.0
19,8,1979.0,6.0,160.0,24.7,19.6,14.6,101490.0
20,8,1979.0,3.0,233.0,25.6,17.4,11.9,101360.0
21,8,1979.0,7.0,121.0,25.9,20.5,16.2,100820.0
22,8,1979.0,7.0,62.0,25.9,17.0,13.1,102280.0
23,8,1979.0,5.0,224.0,18.3,16.2,10.9,101470.0
24,8,1979.0,5.0,224.0,21.7,21.5,20.3,100910.0
25,8,1979.0,5.0,219.0,25.5,19.9,13.0,101750.0
26,8,1979.0,7.0,144.0,19.5,16.4,12.6,100570.0
27,8,1979.0,6.0,140.0,23.2,16.6,13.4,101770.0
28,8,1979.0,6.0,221.0,22.2,20.1,16.4,101960.0
29,8,1979.0,7.0,224.0,22.1,18.0,14.2,101750.0
30,8,1979.0,3.0,252.0,23.0,19.5,11.7,101900.0
31,8,1979.0,6.0,89.0,18.6,15.4,14.0,101740.0
1,9,1979.0,1.0,203.0,23.1,15.8,9.8,101920.0
2,9,1979.0,7.0,124.0,19.3,18.7,15.4,101270.0
3,9,1979.0,5.0,45.0,20.4,13.8,8.3,101550.0
4,9,1979.0,6.0,130.0,15.8,10.8,7.8,101150.0
5,9,1979.0,6.0,185.0,24.3,18.4,12.2,102340.0
6,9,1979.0,8.0,45.0,16.9,15.5,13.0,100600.0
7,9,1979.0,5.0,140.0,21.5,17.6,12.2,101160.0
8,9,1979.0,6.0,97.0,24.6,19.1,15.5,101600.0
9,9,1979.0,5.0,95.0,19.2,15.0,13.9,100920.0
10,9,1979.0,5.0,137.0,18.0,15.0,11.5,101310.0
11,9,1979.0,4.0,137.0,18.2,15.4,10.2,102390.0
12,9,1979.0,5.0,228.0,26.2,18.6,12.0,101670.0
13,9,1979.0,6.0,95.0,19.3,13.0,9.3,100930.0
14,9,1979.0,5.0,44.0,12.6,5.6,0.4,101470.0
15,9,1979.0,1.0,286.0,20.5,18.6,12.8,102710.0
16,9,1979.0,4.0,131.0,23.0,14.6,9.1,102220.0
17,9,1979.0,5.0,166.0,17.0,15.4,13.0,101710.0
18,9,1979.0,7.0,35.0,19.6,14.2,10.2,101370.0
19,9,1979.0,7.0,86.0,18.6,14.2,11.7,102280.0
20,9,1979.0,5.0,112.0,16.0,12.2,8.6,101270.0
21,9,1979.0,5.0,141.0,18.5,16.2,11.6,100860.0
22,9,1979.0,6.0,125.0,22.2,16.6,12.9,102670.0
23,9,1979.0,7.0,55.0,18.0,14.3,11.7,102250.0
24,9,1979.0,6.0,213.0,19.0,16.0,13.9,100490.0
25,9,1979.0,5.0,127.0,19.9,17.2,13.7,101260.0
26,9,1979.0,5.0,103.0,19.9,15.8,10.1,101780.0
27,9,1979.0,6.0,65.0,19.7,19.0,16.0,101560.0
28,9,1979.0,7.0,66.0,12.2,8.4,3.7,100540.0
29,9,1979.0,8.0,61.0,19.8,16.8,13.9,101380.0
30,9,1979.0,2.0,161.0,16.2,13.3,7.4,102500.0
1,10,1979.0,5.0,115.0,16.4,10.8,6.6,101870.0
2,10,1979.0,7.0,44.0,14.0,13.2,10.4,101730.0
3,10,1979.0,5.0,87.0,11.0,8.6,6.2,101870.0
4,10,1979.0,8.0,70.0,17.9,15.2,13.8,101020.0
5,10,1979.0,6.0,66.0,15.0,12.3,8.5,102130.0
6,10,1979.0,3.0,94.0,16.6,15.0,11.7,100630.0
7,10,1979.0,5.0,52.0,13.5,8.0,7.4,102340.0
8,10,1979.0,7.0,45.0,15.6,12.3,10.5,101270.0
9,10,1979.0,7.0,41.0,20.6,14.8,11.8,101630.0
10,10,1979.0,6.0,53.0,11.7,11.4,9.2,101380.0
11,10,1979.0,5.0,93.0,18.2,13.6,10.5,102160.0
12,10,1979.0,5.0,87.0,16.1,14.3,10.6,102200.0
13,10,1979.0,4.0,93.0,11.0,14.8,10.1,102660.0
14,10,1979.0,7.0,35.0,18.9,15.2,11.8,100840.0
15,10,1979.0,7.0,73.0,11.4,10.0,7.7,101380.0
16,10,1979.0,6.0,83.0,12.5,10.8,8.7,100960.0
17,10,1979.0,7.0,25.0,16.4,13.3,11.4,101160.0
18,10,1979.0,6.0,53.0,17.7,10.8,5.0,101390.0
19,10,1979.0,5.0,63.0,13.6,9.1,5.9,101670.0
20,10,1979.0,5.0,50.0,11.1,6.5,1.9,100620.0
21,10,1979.0,5.0,109.0,16.4,11.4,6.2,100600.0
22,10,1979.0,5.0,55.0,13.5,10.3,6.0,100510.0
23,10,1979.0,6.0,66.0,17.6,12.6,9.0,101830.0
24,10,1979.0,7.0,24.0,15.5,11.9,8.1,101370.0
25,10,1979.0,5.0,75.0,14.9,10.6,5.3,101280.0
26,10,1979.0,8.0,16.0,15.0,11.0,8.9,100560.0
27,10,1979.0,5.0,83.0,15.5,13.4,8.0,101010.0
28,10,1979.0,4.0,36.0,18.3,12.2,8.5,100880.0
29,10,1979.0,6.0,89.0,16.8,12.2,8.7,102200.0
30,10,1979.0,8.0,41.0,18.1,10.9,7.9,102720.0
31,10,1979.0,5.0,56.0,12.6,12.0,9.6,101370.0
1,11,1979.0,6.0,17.0,9.6,4.0,0.3,103240.0
2,11,1979.0,4.0,47.0,11.8,7.3,5.2,102740.0
3,11,1979.0,4.0,46.0,9.1,4.8,2.0,100610.0
4,11,1979.0,8.0,17.0,11.8,10.8,6.5,100350.0
5,11,1979.0,4.0,44.0,9.5,7.8,3.9,102830.0
6,11,1979.0,8.0,16.0,10.4,6.5,2.6,101710.0
7,11,1979.0,8.0,15.0,7.4,5.7,2.0,101580.0
8,11,1979.0,7.0,72.0,15.3,12.6,11.3,101600.0
9,11,1979.0,6.0,38.0,11.7,9.6,7.8,100310.0
10,11,1979.0,4.0,55.0,9.8,4.6,-0.1,99660.0
11,11,1979.0,6.0,36.0,11.2,8.0,3.4,100310.0
12,11,1979.0,6.0,40.0,9.4,3.4,2.8,100400.0
13,11,1979.0,8.0,19.0,14.5,11.9,8.6,100460.0
14,11,1979.0,5.0,38.0,13.6,15.0,12.5,101830.0
15,11,1979.0,7.0,41.0,9.1,10.8,7.5,101150.0
16,11,1979.0,5.0,29.0,4.7,3.2,0.4,102580.0
17,11,1979.0,8.0,22.0,6.8,3.0,2.4,101050.0
18,11,1979.0,5.0,30.0,12.2,4.0,-2.5,101250.0
19,11,1979.0,8.0,21.0,11.4,8.9,6.9,103440.0
20,11,1979.0,7.0,21.0,11.5,12.6,10.0,101370.0
21,11,1979.0,8.0,12.0,12.9,13.0,12.2,99390.0
22,11,1979.0,7.0,18.0,9.1,9.8,6.8,101830.0
23,11,1979.0,7.0,36.0,11.7,9.4,9.1,102530.0
24,11,1979.0,6.0,40.0,12.3,8.6,5.1,101260.0
25,11,1979.0,7.0,25.0,10.5,7.8,5.6,101470.0
26,11,1979.0,6.0,44.0,11.4,7.8,6.9,99730.0
27,11,1979.0,7.0,18.0,9.8,10.6,8.8,99810.0
28,11,1979.0,7.0,22.0,10.9,5.4,3.8,100540.0
29,11,1979.0,7.0,16.0,12.1,7.6,3.6,101360.0
30,11,1979.0,5.0,41.0,13.7,8.4,4.5,102380.0
1,12,1979.0,7.0,17.0,9.5,8.8,5.5,99580.0
2,12,1979.0,7.0,35.0,9.9,9.6,6.0,100250.0
3,12,1979.0,8.0,31.0,10.0,4.4,0.3,101290.0
4,12,1979.0,5.0,41.0,9.8,7.0,3.9,103950.0
5,12,1979.0,8.0,12.0,10.5,8.6,4.5,101380.0
6,12,1979.0,6.0,40.0,11.7,11.9,9.2,100740.0
7,12,1979.0,2.0,46.0,10.1,8.3,5.1,102640.0
8,12,1979.0,5.0,46.0,3.8,2.4,1.4,102730.0
9,12,1979.0,8.0,12.0,9.6,8.2,6.9,102080.0
10,12,1979.0,8.0,13.0,6.9,5.3,4.6,101770.0
11,12,1979.0,8.0,16.0,8.0,4.0,0.9,101970.0
12,12,1979.0,0.0,72.0,2.0,-2.4,-3.3,102130.0
13,12,1979.0,6.0,13.0,12.5,3.2,-0.1,102250.0
14,12,1979.0,8.0,13.0,12.5,4.1,3.7,100400.0
15,12,1979.0,8.0,12.0,7.4,2.8,0.8,103580.0
16,12,1979.0,8.0,12.0,9.0,8.4,6.1,103710.0
17,12,1979.0,8.0,12.0,6.4,5.0,2.5,103740.0
18,12,1979.0,8.0,12.0,9.0,6.8,3.1,101360.0
19,12,1979.0,8.0,12.0,12.9,3.4,-1.1,102890.0
20,12,1979.0,7.0,12.0,9.5,8.0,5.9,100570.0
21,12,1979.0,7.0,13.0,9.4,3.0,-2.4,100840.0
22,12,1979.0,6.0,12.0,11.5,8.4,4.9,102760.0
23,12,1979.0,5.0,12.0,8.0,3.2,1.7,103490.0
24,12,1979.0,8.0,12.0,4.6,4.8,1.9,99580.0
25,12,1979.0,6.0,25.0,4.2,1.5,-1.2,102540.0
26,12,1979.0,7.0,12.0,5.5,2.8,0.2,101980.0
27,12,1979.0,6.0,12.0,7.5,3.0,1.3,99050.0
28,12,1979.0,6.0,12.0,6.9,4.2,3.9,101360.0
29,12,1979.0,5.0,51.0,4.7,3.8,2.0,102520.0
30,12,1979.0,8.0,12.0,10.9,7.0,6.4,102730.0
31,12,1979.0,7.0,12.0,7.2,4.6,1.9,101400.0
1,1,1980.0,8.0,25.0,1.4,-0.8,-2.5,100910.0
2,1,1980.0,1.0,82.0,4.2,0.0,-2.4,100930.0
3,1,1980.0,8.0,13.0,8.7,5.0,3.6,102780.0
4,1,1980.0,8.0,13.0,7.4,5.8,4.2,101970.0
5,1,1980.0,7.0,37.0,9.7,8.9,5.4,100520.0
6,1,1980.0,7.0,21.0,6.8,6.1,3.3,102220.0
7,1,1980.0,4.0,34.0,3.3,0.2,-1.7,101940.0
8,1,1980.0,6.0,27.0,11.1,8.2,5.2,102110.0
9,1,1980.0,6.0,22.0,12.3,11.8,9.2,102260.0
10,1,1980.0,5.0,52.0,3.7,1.3,-1.2,100290.0
11,1,1980.0,6.0,15.0,9.6,6.2,5.1,102740.0
12,1,1980.0,5.0,56.0,6.6,6.2,4.1,100540.0
13,1,1980.0,7.0,12.0,12.8,8.8,5.8,102730.0
14,1,1980.0,8.0,13.0,1.9,2.0,0.5,102270.0
15,1,1980.0,7.0,18.0,4.9,0.2,-2.9,101900.0
16,1,1980.0,5.0,17.0,7.5,1.8,-1.6,101680.0
17,1,1980.0,6.0,18.0,4.6,3.4,2.6,103580.0
18,1,1980.0,6.0,21.0,4.1,1.8,-2.9,101940.0
19,1,1980.0,5.0,47.0,10.7,4.6,1.9,101900.0
20,1,1980.0,7.0,19.0,8.6,5.8,3.1,102850.0
21,1,1980.0,7.0,20.0,2.8,3.4,1.5,102360.0
22,1,1980.0,7.0,16.0,9.4,1.2,-3.0,100830.0
23,1,1980.0,4.0,45.0,9.3,1.6,-2.9,101370.0
24,1,1980.0,8.0,16.0,-0.6,0.6,-3.6,102770.0
25,1,1980.0,7.0,16.0,2.6,-0.4,-1.4,102160.0
26,1,1980.0,7.0,15.0,-0.2,0.2,-0.2,103530.0
27,1,1980.0,3.0,41.0,4.1,0.2,-2.3,102030.0
28,1,1980.0,5.0,57.0,7.5,5.0,0.7,103520.0
29,1,1980.0,7.0,29.0,6.9,5.1,1.6,102920.0
30,1,1980.0,8.0,19.0,7.7,9.8,7.7,102040.0
31,1,1980.0,8.0,19.0,12.3,13.8,10.6,101270.0
1,2,1980.0,3.0,59.0,1.4,1.7,-1.3,102520.0
2,2,1980.0,8.0,15.0,10.6,4.5,-0.3,100480.0
3,2,1980.0,5.0,64.0,12.7,9.9,5.5,102610.0
4,2,1980.0,8.0,39.0,11.2,9.4,6.6,101390.0
5,2,1980.0,7.0,26.0,4.9,0.9,-1.8,101610.0
6,2,1980.0,7.0,15.0,8.0,4.8,3.0,102510.0
7,2,1980.0,5.0,31.0,7.7,4.8,4.4,98200.0
8,2,1980.0,7.0,25.0,9.3,8.4,5.4,100930.0
9,2,1980.0,6.0,34.0,14.3,9.2,6.2,102070.0
10,2,1980.0,7.0,40.0,8.6,6.0,3.5,102740.0
11,2,1980.0,8.0,25.0,11.1,6.6,1.2,102280.0
12,2,1980.0,7.0,55.0,12.6,12.2,9.0,102250.0
